###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**|**W-8**|**W-9**|**W-10**|**W-11**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--
185|Lemieux|Cape Town Lions|1767.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
186|Messier|Cloud9.0.1|1755.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
187|Messier|My Team Name Doesn't Maatta|1751.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
188|Roy|Bryz's Bears|1750.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
189|Yzerman|Hawaiian Hedgehogs|1743.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
190|Messier|The Wife Beaters.... Oops! Wrong Sport!|1743.5|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
191|Jagr|McTank|1727.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
192|Francis|The New Cheli-O's|1725.75|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
193|Sakic|H2H...yay|1682.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
194|Dionne|Facewashington Capitals|1669.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
195|Bourque|Nightmare On Helm Street|1655.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
196|Francis|Baby Got Backstrom|1637.85|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
-----

*A previous rank of NR means the team has most likely changed their name since then - working on a workaround for this.*

